0	2	272
1	2	6493
2	0	3756
2	1	7796
3	0	994
3	1	7796
4	0	6998
4	1	7796
5	0	995
5	1	7796
6	2	511
7	0	3599
7	1	6368
8	0	6307
8	1	2070
9	0	995
9	1	2070
10	2	1610
11	0	6268
11	1	2070
12	2	6216
13	2	902
14	0	6307
14	1	303
15	0	995
15	1	303
16	2	5167
17	2	6769
18	0	6841
18	1	303
19	0	6307
19	1	4637
20	0	5588
20	1	4637
21	2	6964
22	0	995
22	1	4346
23	0	5079
23	1	7796
24	0	3089
24	1	7796
25	2	303
26	0	1422
26	1	303
27	0	3224
27	1	3382
28	2	3382
29	2	6689
30	2	4973
31	2	2024
32	2	7398
33	0	3599
33	1	7796
34	2	6897
35	2	2017
36	2	4561
37	0	7991
37	1	512
38	2	512
39	0	1600
39	1	7796
40	0	6058
40	1	4637
41	0	4839
41	1	4637
42	0	995
42	1	4637
43	0	2182
43	1	4637
44	2	409
45	0	3224
45	1	4637
46	0	6307
46	1	7603
47	0	995
47	1	7603
48	0	995
48	1	8067
49	0	7991
49	1	8067
50	2	4346
51	2	6222
52	2	3530
53	2	5917
54	0	6307
54	1	3382
55	2	6256
56	0	6058
56	1	1140
57	2	4780
58	0	505
58	1	8621
59	0	1413
59	1	8621
60	2	3823
61	2	492
62	0	995
62	1	2274
63	2	1140
64	2	7088
65	2	5781
66	2	1106
67	2	8067
68	0	995
68	1	1106
69	0	6220
69	1	4637
70	0	7991
70	1	4637
71	2	4655
72	0	1336
72	1	4637
73	0	3922
73	1	1140
74	2	8621
75	0	7991
75	1	8621
76	0	4839
76	1	7796
77	2	7796
78	2	5869
79	0	995
79	1	1140
80	2	350
81	2	8123
82	0	995
82	1	1733
83	0	3993
83	1	2818
84	0	3599
84	1	2818
85	2	6417
86	0	6268
86	1	2818
87	2	6284
88	0	6307
88	1	7088
89	0	7618
89	1	7088
90	0	995
90	1	2012
91	2	7077
92	2	1122
93	2	462
94	2	3508
95	0	4701
95	1	2419
96	2	7996
97	2	3946
98	2	947
99	0	1968
99	1	1140
100	0	1857
100	1	4637
101	0	7991
101	1	6493
102	0	5353
102	1	4637
103	0	3206
103	1	651
104	0	4707
104	1	492
105	2	40
106	2	197
107	0	3922
107	1	40
108	2	3954
109	2	5685
110	2	2252
111	2	2207
112	2	6204
113	2	768
114	2	6537
115	2	7873
116	2	7603
117	2	5579
118	2	8045
119	0	7618
119	1	5781
120	0	2805
120	1	4637
121	2	8599
122	2	4637
123	2	7072
124	0	7991
124	1	7528
125	0	7618
125	1	4637
126	2	7919
127	2	8364
128	0	1968
128	1	4637
129	2	5852
130	0	8003
130	1	7796
131	0	3558
131	1	7796
132	0	3599
132	1	2419
133	2	2419
134	0	3206
134	1	2419
135	0	6307
135	1	1140
136	0	4000
136	1	1140
137	0	4839
137	1	1140
138	0	6307
138	1	2419
139	2	5891
140	2	8162
141	0	3401
141	1	1140
142	2	534
143	0	7991
143	1	781
144	0	3599
144	1	781
145	2	6231
146	0	4810
146	1	512
147	0	5961
147	1	512
148	0	5544
148	1	5781
149	0	5588
149	1	947
150	2	7363
151	0	995
151	1	7363
152	0	732
152	1	7363
153	0	6841
153	1	7363
154	0	6058
154	1	7363
155	0	3746
155	1	7363
156	0	8459
156	1	1140
157	2	2318
158	2	6884
159	0	6307
159	1	8067
160	0	806
160	1	8067
161	0	3206
161	1	4637
162	0	5140
162	1	4637
163	0	995
163	1	7088
164	2	4308
165	0	995
165	1	6333
166	2	3063
167	0	995
167	1	7499
168	2	3492
169	0	995
169	1	698
170	0	5544
170	1	4637
171	0	3206
171	1	1957
172	0	3599
172	1	1957
173	0	8446
173	1	1957
174	0	6404
174	1	8364
175	2	7769
176	0	7618
176	1	8621
177	2	7120
178	2	5010
179	2	298
180	0	3756
180	1	2042
181	0	4650
181	1	2042
182	2	4368
183	0	995
183	1	4365
184	0	685
184	1	4365
185	0	192
185	1	4365
186	0	5588
186	1	4365
187	0	995
187	1	8364
188	0	4664
188	1	8364
189	0	1603
189	1	4637
190	0	3599
190	1	1106
191	2	1957
192	0	1857
192	1	8263
193	0	6268
193	1	8263
194	2	7446
195	0	1273
195	1	6931
196	0	995
196	1	6931
197	0	3922
197	1	947
198	0	995
198	1	947
199	0	7991
199	1	1957
200	2	4620
201	0	995
201	1	1957
202	0	3212
202	1	7946
203	0	3599
203	1	7946
204	0	6307
204	1	7946
205	0	2679
205	1	7946
206	0	5140
206	1	24
207	0	995
207	1	24
208	0	1857
208	1	24
209	2	7667
210	0	8459
210	1	3382
211	0	4707
211	1	189
212	0	2805
212	1	189
213	2	3623
214	0	1630
214	1	4637
215	2	5548
216	0	7991
216	1	1140
217	2	3335
218	2	5645
219	2	1561
220	2	2818
221	2	5618
222	2	5600
223	0	7991
223	1	947
224	2	4037
225	0	995
225	1	534
226	0	7991
226	1	7363
227	0	4872
227	1	6923
228	2	5375
229	2	4487
230	2	4446
231	0	6268
231	1	4346
232	2	106
233	0	893
233	1	303
234	0	7991
234	1	303
235	0	7991
235	1	7796
236	2	696
237	0	995
237	1	4185
238	2	5624
239	0	7991
239	1	64
240	2	781
241	0	7302
241	1	781
242	0	1374
242	1	781
243	2	2392
244	0	995
244	1	4039
245	0	995
245	1	6923
246	0	7991
246	1	6923
247	2	7684
248	0	995
248	1	6902
249	2	1299
250	2	5809
251	2	6357
252	2	4979
253	0	6841
253	1	6576
254	2	4755
255	2	3044
256	2	2850
257	0	3746
257	1	3382
258	0	995
258	1	3382
259	0	6841
259	1	64
260	2	64
261	2	2089
262	2	7947
263	0	995
263	1	6231
264	0	7618
264	1	4451
265	2	4451
266	2	5304
267	0	893
267	1	4185
268	0	4000
268	1	4185
269	2	5578
270	2	1309
271	0	6841
271	1	1969
272	0	7991
272	1	1969
273	0	5875
273	1	8117
274	0	7991
274	1	8117
275	2	541
276	2	2206
277	0	1369
277	1	5781
278	2	2929
279	2	6732
280	0	5845
280	1	4637
281	2	4743
282	2	442
283	2	7641
284	2	7124
285	2	3179
286	0	3922
286	1	5781
287	2	62
288	2	1658
289	0	995
289	1	5121
290	0	6307
290	1	4487
291	0	8227
291	1	4487
292	0	6307
292	1	1106
293	0	995
293	1	2473
294	0	6841
294	1	1140
295	2	4801
296	0	995
296	1	7946
297	2	383
298	2	385
299	0	3599
299	1	3382
300	0	3922
300	1	3382
301	0	685
301	1	303
